Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
YELLOW,SERENE,response_markdown,5f3164547d7561645c9f4f55,4530.544999986887,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
ORANGE,EXCITED,response_markdown,5f3164547d7561645c9f4f55,2331.4199997112155,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
RED,FRUSTRATED,response_markdown,5f3164547d7561645c9f4f55,682.6150002889335,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
ORANGE,HAPPY,response_markdown,5f3164547d7561645c9f4f55,3753.5549998283386,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
GREEN,DISGUSTED,response_markdown,5f3164547d7561645c9f4f55,879.0950002148747,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
YELLOW,SURPRISED,response_markdown,5f3164547d7561645c9f4f55,8587.27000001818,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
GREEN,BORED,response_markdown,5f3164547d7561645c9f4f55,6739.645000081509,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
BLUE,CALM,response_markdown,5f3164547d7561645c9f4f55,348.4499999321997,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
RED,AFRAID,response_markdown,5f3164547d7561645c9f4f55,454.3299996294081,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
PURPLE,SATISFIED,response_markdown,5f3164547d7561645c9f4f55,1997.3250003531573,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
BLUE,SAD,response_markdown,5f3164547d7561645c9f4f55,541.8499996885657,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
RED,ASTONISHED,response_markdown,5f3164547d7561645c9f4f55,499.5000003837049,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
RED,ALARMED,response_markdown,5f3164547d7561645c9f4f55,125.2550003118813,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
RED,STRESSED,response_markdown,5f3164547d7561645c9f4f55,473.0449998751282,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
BLUE,DEPRESSED,response_markdown,5f3164547d7561645c9f4f55,512.5899999402463,3_ Emotion & Color Association Phase_ENGLISH,1835543.0
